"date","publisher","Trump","Sanders","Biden","Warren","Buttigieg","Bloomberg","Klobuchar","Yang","Steyer","Gabbard"
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,1,0,0,1,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,1,0,0
"2020-03-20","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",0,0,0,0,0,0,0,1,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,1,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",0,0,1,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,1,0,0,0,0,0,0,0
"2020-03-20","Breitbart",1,0,0,0,0,1,0,0,0,0
"2020-03-21","Breitbart",0,1,0,0,0,0,0,0,0,0
"2020-03-21","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-21","Breitbart",0,0,0,1,0,0,0,0,0,0
"2020-03-21","Breitbart",1,0,0,0,0,0,0,0,0,0
"2020-03-21","Breitbart",1,0,0,1,0,0,0,0,0,0
